Артикул,Описание,Название товара,Размер,Фото по ссылке,Цена
4741,"===РАЗМЕР 80===
длина 45 см
шаговый 25 см 
===РАЗМЕР 90===
длина 51 см
шаговый 30 см 
===РАЗМЕР 100===
длина 57 см
шаговый 34 см 
===РАЗМЕР 110===
длина 61 см
шаговый 38 см 
===РАЗМЕР 120===
длина 64 см
шаговый 42 см
штаны
зима
утепленные
верх полиэстер
утеплитель синтепон
подклад нейлон
",Зимние штаны черные 4741,"80
 - 2 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/zimovi-shtani-chorni-4741--189896-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/zimovi-shtani-chorni-4741--189897-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/zimovi-shtani-chorni-4741--189894-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/zimovi-shtani-chorni-4741--189895-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/zimovi-shtani-chorni-4741--189898-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/zimovi-shtani-chorni-4741-8204-1051x1051.jpg",320грн.
4803,"===РАЗМЕР 68===
ТУНИКА
длина 33 см
ширина 25 см
плечи 20 см
рукав от плеча 25 см
ЛОСИНЫ
длина 37 см
шаговый 22 см
бедра 22 см 
===РАЗМЕР 74===
ТУНИКА
длина 35 см
ширина 26 см
плечи 21 см
рукав от плеча 27 см
ЛОСИНЫ
длина 40 см
шаговый 25 см
бедра 23 см 
===РАЗМЕР 80===
ТУНИКА
длина 36 см
ширина 26 см
плечи 22 см
рукав от плеча 29 см
ЛОСИНЫ
длина 44 см
шаговый 28 см
бедра 24 см 
===РАЗМЕР 86===
ТУНИКА
длина 38 см
ширина 27 см
плечи 22 см
рукав от плеча 32 см
ЛОСИНЫ
длина 47 см
шаговый 29 см
бедра 25 см
Костюм
туника+лосины
хлопок
производитель Турция
",Комплект для девочки Бантик 4803,"68
 - 1 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-4803--194575-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-4803--194574-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-4803--194573-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-4803--194576-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-4803-8202-1051x1051.jpg",300грн.
4802,"===РАЗМЕР 68===
ТУНИКА
длина 33 см
ширина 25 см
плечи 20 см
рукав от плеча 25 см
ЛОСИНЫ
длина 37 см
шаговый 22 см
бедра 22 см 
===РАЗМЕР 74===
ТУНИКА
длина 35 см
ширина 26 см
плечи 21 см
рукав от плеча 27 см
ЛОСИНЫ
длина 40 см
шаговый 25 см
бедра 23 см 
===РАЗМЕР 80===
ТУНИКА
длина 36 см
ширина 26 см
плечи 22 см
рукав от плеча 29 см
ЛОСИНЫ
длина 44 см
шаговый 28 см
бедра 24 см 
===РАЗМЕР 86===
ТУНИКА
длина 38 см
ширина 27 см
плечи 22 см
рукав от плеча 32 см
ЛОСИНЫ
длина 47 см
шаговый 29 см
бедра 25 см
Костюм
туника+лосины
хлопок
производитель Турция
",Комплект для девочки Бантик красный 4802,"68
 - 1 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-chervoniy-4802--175994-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-chervoniy-4802--175993-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-chervoniy-4802--175992-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-chervoniy-4802--175995-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-chervoniy-4802-8201-1051x1051.jpg",300грн.
4801,"===РАЗМЕР 68===
ТУНИКА
длина 33 см
ширина 25 см
плечи 20 см
рукав от плеча 25 см
ЛОСИНЫ
длина 37 см
шаговый 22 см
бедра 22 см 
===РАЗМЕР 74===
ТУНИКА
длина 35 см
ширина 26 см
плечи 21 см
рукав от плеча 27 см
ЛОСИНЫ
длина 40 см
шаговый 25 см
бедра 23 см 
===РАЗМЕР 80===
ТУНИКА
длина 36 см
ширина 26 см
плечи 22 см
рукав от плеча 29 см
ЛОСИНЫ
длина 44 см
шаговый 28 см
бедра 24 см 
===РАЗМЕР 86===
ТУНИКА
длина 38 см
ширина 27 см
плечи 22 см
рукав от плеча 32 см
ЛОСИНЫ
длина 47 см
шаговый 29 см
бедра 25 см
Костюм
туника+лосины
хлопок
производитель Турция
",Комплект для девочки Бантик серый 4801,"68
 - 1 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-siriy-4801--186048-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-siriy-4801--186047-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-siriy-4801--186046-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-siriy-4801--186045-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-siriy-4801--186049-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-siriy-4801-8200-1051x1051.jpg",300грн.
4800,"===РАЗМЕР 68===
ТУНИКА
длина 33 см
ширина 25 см
плечи 20 см
рукав от плеча 25 см
ЛОСИНЫ
длина 37 см
шаговый 22 см
бедра 22 см 
===РАЗМЕР 74===
ТУНИКА
длина 35 см
ширина 26 см
плечи 21 см
рукав от плеча 27 см
ЛОСИНЫ
длина 40 см
шаговый 25 см
бедра 23 см 
===РАЗМЕР 80===
ТУНИКА
длина 36 см
ширина 26 см
плечи 22 см
рукав от плеча 29 см
ЛОСИНЫ
длина 44 см
шаговый 28 см
бедра 24 см 
===РАЗМЕР 86===
ТУНИКА
длина 38 см
ширина 27 см
плечи 22 см
рукав от плеча 32 см
ЛОСИНЫ
длина 47 см
шаговый 29 см
бедра 25 см
Костюм
туника+лосины
хлопок
производитель Турция
",Комплект для девочки Бантик розовый 4800,"74
 - 1 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-rozheviy-4800--183257-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-rozheviy-4800--183255-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-rozheviy-4800--183256-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-rozheviy-4800--183258-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-dlya-divchinki-bantik-rozheviy-4800-8199-1051x1051.jpg",300грн.
4784,"Тапочки-носочки
утепленные
подошва с антискользящим покрытием
Замеры подошвы (черная часть подошвы)
размер 18 - подходит на ножку 10-12,5 см
размер 20 - подходит на ножку 12-14 см
размер 22 - подходит на ножку 14-15,5 см
размер 24 - подходит на ножку 15-16 см
18 ( длина (черная часть подошвы) 11,5 см)
20 (длина (черная часть подошвы) 13 см)
22 (длина (черная часть подошвы) 13,8 см)
24 (длина (черная часть подошвы) 14,5 см)
",Носочки-тапочки Утенок 4784,"18
 - 4 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-kachenya-4784--189634-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-kachenya-4784--189633-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-kachenya-4784--189630-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-kachenya-4784--189632-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-kachenya-4784--189631-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-kachenya-4784--189629-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-kachenya-4784--189635-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-kachenya-4784-8183-1051x1051.jpg",200грн.
4785,"Тапочки-носочки
утепленные
подошва с антискользящим покрытием
Замеры подошвы (черная часть подошвы)
размер 18 - подходит на ножку 10-12,5 см
размер 20 - подходит на ножку 12-14 см
размер 22 - подходит на ножку 14-15,5 см
размер 24 - подходит на ножку 15-16 см
18 ( длина (черная часть подошвы) 11,5 см)
20 (длина (черная часть подошвы) 13 см)
22 (длина (черная часть подошвы) 13,8 см)
24 (длина (черная часть подошвы) 14,5 см)
",Носочки-тапочки Дино 4785,"18
 - 3 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-dino-4785--184743-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-dino-4785--184742-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-dino-4785--184741-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-dino-4785--184740-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-dino-4785--184744-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-dino-4785-8184-1051x1051.jpg",200грн.
4783,"Тапочки-носочки
утепленные
подошва с антискользящим покрытием
Замеры подошвы (черная часть подошвы)
размер 18 - подходит на ножку 10-12,5 см
размер 20 - подходит на ножку 12-14 см
размер 22 - подходит на ножку 14-15,5 см
размер 24 - подходит на ножку 15-16 см
18 ( длина (черная часть подошвы) 11,5 см)
20 (длина (черная часть подошвы) 13 см)
22 (длина (черная часть подошвы) 13,8 см)
24 (длина (черная часть подошвы) 14,5 см)
",Носочки-тапочки Зайчик 4783,"18
 - 1 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180132-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180131-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180130-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180129-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180128-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180127-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180126-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180125-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180124-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783--180133-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-zaychik-4783-8182-1051x1051.jpg",200грн.
4782,"Тапочки-носочки
утепленные
подошва с антискользящим покрытием
Замеры подошвы (черная часть подошвы)
размер 18 - подходит на ножку 10-12,5 см
размер 20 - подходит на ножку 12-14 см
размер 22 - подходит на ножку 14-15,5 см
размер 24 - подходит на ножку 15-16 см
18 ( длина (черная часть подошвы) 11,5 см)
20 (длина (черная часть подошвы) 13 см)
22 (длина (черная часть подошвы) 13,8 см)
24 (длина (черная часть подошвы) 14,5 см)
",Носочки-тапочки Улитка 4782,"18
 - 3 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-ravlik-4782--194810-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-ravlik-4782--194809-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-ravlik-4782--194808-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-ravlik-4782--194807-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-ravlik-4782--194811-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/shkarpetki-tapochki-ravlik-4782-8181-1051x1051.jpg",200грн.
4781,"===РАЗМЕР 74===
ЖИЛЕТ
длина 30 см
ширина 25 см
КОФТА
длина 34 см
ширина 26 см
плечи 19 см
рукав от плеча 23 см
ШТАНЫ
длина 42 см
шаговый 26 см
бедра 29 см 
===РАЗМЕР 80===
ЖИЛЕТ
длина 31 см
ширина 26 см
КОФТА
длина 36 см
ширина 27 см
плечи 20 см
рукав от плеча 25 см
ШТАНЫ
длина 44 см
шаговый 28 см
бедра 30 см 
===РАЗМЕР 86===
ЖИЛЕТ
длина 32 см
ширина 27 см
КОФТА
длина 38 см
ширина 28 см
плечи 21 см
рукав от плеча 28 см
ШТАНЫ
длина 46 см
шаговый 29 см
бедра 31 см 
===РАЗМЕР 92===
ЖИЛЕТ
длина 36 см
ширина 28 см
КОФТА
длина 40 см
ширина 30 см
плечи 22 см
рукав от плеча 30 см
ШТАНЫ
длина 51 см
шаговый 32 см
бедра 32 см
Костюм-тройка
жилет+реглан+штаны
кофта и штаны хлопок
жилет меховушка
производитель Турция
",Костюм-тройка для девочки Зайчик 4781,"80
 - 1 шт.","https://chebyrashka.com.ua/image/cache/catalog/aaa/kostyum-triyka-dlya-divchinki-zaychik-4781--181457-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/kostyum-triyka-dlya-divchinki-zaychik-4781--181458-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/kostyum-triyka-dlya-divchinki-zaychik-4781--181456-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/kostyum-triyka-dlya-divchinki-zaychik-4781--181459-1051x1051.jpg
https://chebyrashka.com.ua/image/cache/catalog/aaa/kostyum-triyka-dlya-divchinki-zaychik-4781-8180-1051x1051.jpg",420грн.
