Артикул,Описание,Название товара,Размер,Фото по ссылке,Цена,Наличие,Отображать на сайте
20463,"21 - стелька 13,3 см
22 - стелька 13,7 см
23 - стелька 14 см
24 - стелька 14,5 см
25 - стелька 15 см
26 - стелька 15,5 см
27 - стелька 16 см
28 - стелька 16,5 см
29 - стелька 17,3 см
30 - стелька 18,4 см
31 - стелька 18,6 см
32 - стелька 19 см
33 - стелька 19,5 см
34 - стелька 20,5 см
35 - стелька 21 см
36 - стелька 21,5 см
Материал: PU-кожа, внутри текстиль.
Подошва: мягкая резина
Застежка: липучка + самозатяжни шнурки
Видео обзор



https://drive.google.com/file/d/1RFvWv-L1700GqYIHFL2f7GZlgCkngcd5/view?usp=sharing",Кроссовки детские FіILA Replika весна-осень белые,"26
 - 2 шт.      
27
 - 1 шт.      
28
 - 3 шт.      
29
 - 2 шт.      
30
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/krosivki-dityachi-fiila-replika-vesna-osin-bili-8674-1051x1051.jpg,375грн.,На складе,Да
20464,"21 - стелька 13,3 см
22 - стелька 13,7 см
23 - стелька 14 см
24 - стелька 14,5 см
25 - стелька 15 см
26 - стелька 15,5 см
27 - стелька 16 см
28 - стелька 16,5 см
29 - стелька 17,3 см
30 - стелька 18,4 см
31 - стелька 18,6 см
32 - стелька 19 см
33 - стелька 19,5 см
34 - стелька 20,5 см
35 - стелька 21 см
36 - стелька 21,5 см
Материал: PU-кожа, внутри текстиль.
Подошва: мягкая резина
Застежка: липучка + самозатяжни шнурки
Видео обзор



https://drive.google.com/file/d/1trKcXiQBnyGYE8ZxFYvz4iJ6w9E9SMPp/view?usp=sharing",Кроссовки детские FіILA Replika весна-осень розовые,"22
 - 2 шт.      
23
 - 1 шт.      
24
 - 1 шт.      
29
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/krosivki-dityachi-fiila-replika-vesna-osin-rozhevi-8673-1051x1051.jpg,375грн.,На складе,Да
20494,"15 - стелька 11,5 см
16 - стелька 12 см
17 - стелька 12,4 см
18 - стелька 12,8 см
19 - стелька 13 см
20 - стелька 13,2 см
21 - стелька 13,5 см
22 - стелька 14 см
23 - стелька 14,4 см
24 - стелька 14,9 см
25 - стелька 15,2 см
26 - стелька 15,4 см
27 - стелька 16 см
28 - стелька 17 см
29 - стелька 17,6 см
30 - стелька 18 см
Удобная и легкая модель для повседневной носки .
Материал : PU- кожа
Подошва: мягкая резина
Застежка: липучки + самозатяжни шнурки
Видео обзор
Видео обзор 2
https://drive.google.com/file/d/1phspUGTkDp_03DOa6aN6qcgODgdPSekv/view?usp=sharing",Кроссовки детские PU- кожа белые с красными полосками,"15
 - 2 шт.      
17
 - 1 шт.      
18
 - 1 шт.      
21
 - 2 шт.      
22
 - 2 шт.      
25
 - 2 шт.      
26
 - 1 шт.      
28
 - 1 шт.      
29
 - 2 шт.      
30
 - 1 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/krosivki-dityachi-pu-shkira-bili-z-chervonimi-smuzhkami-8671-1051x1051.jpg,365грн.,На складе,Да
20493,"15 - стелька 11,5 см
16 - стелька 12 см
17 - стелька 12,4 см
18 - стелька 12,8 см
19 - стелька 13 см
20 - стелька 13,2 см
21 - стелька 13,5 см
22 - стелька 14 см
23 - стелька 14,4 см
24 - стелька 14,9 см
25 - стелька 15,2 см
26 - стелька 15,4 см
27 - стелька 16 см
28 - стелька 17 см
29 - стелька 17,6 см
30 - стелька 18 см
Удобная и легкая модель для повседневной носки .
Материал : PU- кожа
Подошва: мягкая резина
Застежка: липучки + самозатяжни шнурки
Видео обзор
Видео обзор 2
https://drive.google.com/file/d/1phspUGTkDp_03DOa6aN6qcgODgdPSekv/view?usp=sharing",Кроссовки детские PU- кожа белые с зелеными полосками,"15
 - 2 шт.      
16
 - 2 шт.      
18
 - 1 шт.      
21
 - 2 шт.      
23
 - 1 шт.      
24
 - 1 шт.      
25
 - 2 шт.      
27
 - 2 шт.      
30
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/krosivki-dityachi-pu-shkira-bili-z-zelenimi-smuzhkami-8670-1051x1051.jpg,365грн.,На складе,Да
20492,"15 - стелька 11,5 см
16 - стелька 12 см
17 - стелька 12,4 см
18 - стелька 12,8 см
19 - стелька 13 см
20 - стелька 13,2 см
21 - стелька 13,5 см
22 - стелька 14 см
23 - стелька 14,4 см
24 - стелька 14,9 см
25 - стелька 15,2 см
26 - стелька 15,4 см
27 - стелька 16 см
28 - стелька 17 см
29 - стелька 17,6 см
30 - стелька 18 см
Очень милые и удобные детские кроссовки из PU- кожи белые с черными полосками. Имеют оригинальный внешний вид , максимально приближенные к дизайну взрослой обуви . Однако они спроектированных с учетом анатомических особенностей детей , чтобы быть комфортными для маленьких ножек.
 Стелька имеет мелкие перфорации для отвода влаги и воздухообмена .
 Застежка представлена в виде самозатяжних шнурков и прочной липучки.
 Подошва нескользящей , имеет протектор с силуэтом мишку .
Материал : PU- кожа
Подошва: мягкая резина
Застежка: липучки + самозатяжни шнурки
Видео обзор
Видео обзор 2
https://drive.google.com/file/d/1phspUGTkDp_03DOa6aN6qcgODgdPSekv/view?usp=sharing",Кроссовки детские PU- кожа белые с черными полосками,"15
 - 4 шт.      
16
 - 4 шт.      
17
 - 2 шт.      
18
 - 6 шт.      
19
 - 2 шт.      
21
 - 5 шт.      
22
 - 4 шт.      
23
 - 1 шт.      
24
 - 3 шт.      
25
 - 5 шт.      
26
 - 2 шт.      
27
 - 4 шт.      
29
 - 5 шт.      
30
 - 3 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/krosivki-dityachi-pu-shkira-bili-z-chornimi-smuzhkami-8669-1051x1051.jpg,365грн.,На складе,Да
20279,"21 - стелька 13 см
22 - стелька 13,5 см
23 - стелька 14,3 см
24 - стелька 14,7 см
25 - стелька 15 см
26 - стелька 15,8 см
27 - стелька 16,2 см
28 - стелька 16,5 см
29 - стелька 17,5 см
30 - стелька 18,3 см
Удобная и легкая модель для повседневной носки.
Материал: PU- замша с перфорацией
Подошва: резина
Застежка: липучки + самозатяжни шнурки
На подошве следы от клея. Видно на дополнительных фото и видео.
Видео- обзор
https://drive.google.com/file/d/1HEwpj745S0KNFHgcE2A2cin-afUmaRsg/view?usp=sharing",Кеды детские Fashion PU-замша серые,"21
 - 11 шт.      
22
 - 7 шт.      
23
 - 9 шт.      
24
 - 5 шт.      
25
 - 8 шт.      
28
 - 1 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/kedi-dityachi-fashion-pu-zamsha-siri-8623-1051x1051.jpg,300грн.,На складе,Да
20277,"21 - стелька 13 см
22 - стелька 13,5 см
23 - стелька 14,3 см
24 - стелька 14,7 см
25 - стелька 15 см
Удобная и легкая модель для повседневной носки .
Материал : PU- замша с перфорацией
Подошва: резина
Застежка: липучки + самозатяжни шнурки
На кромке подошвы является красный виддинок от материала обуви. Видно на дополнительных фото и видео.
Видео обзор
https://drive.google.com/file/d/1HEwpj745S0KNFHgcE2A2cin-afUmaRsg/view?usp=sharing",Кеды детские Fashion PU-замша красные,"21
 - 14 шт.      
22
 - 8 шт.      
23
 - 4 шт.      
24
 - 8 шт.      
25
 - 9 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/kedi-dityachi-fashion-pu-zamsha-chervoni-8622-1051x1051.jpg,300грн.,На складе,Да
20481,"21 - стелька 13,4 см .
22 - стелька 13,8 см .
23 - стелька 14,2 см .
24 - стелька 14,5 см .
25 - стелька 15 см
26 - стелька 15,7 см .
27 - стелька 16,2 см .
28 - стелька 16,8 см .
29 - стелька 17,4 см .
30 - стелька 18,2 см .
Материал : PU- кожа , внутри текстиль.
Подошва: мягкая резина
Застежка: липучка + самозатяжни шнурки
Ергономичная стелька , перфорированная Eva .
Видео обзор
https://drive.google.com/file/d/1Pv2fcQJ1IjUmpolDyvWYaXNVkB-c3Qgq/view?usp=sharing",Хайтопы детские Kike черно-белые,"21
 - 3 шт.      
22
 - 3 шт.      
23
 - 3 шт.      
24
 - 1 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/haytopi-dityachi-kike-chorno-bili-8573-1051x1051.jpg,430грн.,На складе,Да
20491,"22 - стелька 13,5 см .
23 - стелька 14 см .
26 - стелька 15,5 см .
30 - стелька 17,5 см .
31 - стелька 18,5 см .
Материал : PU- кожа , внутри текстиль
Подошва: мягкая резина
Застежка: липучка + самозатяжни шнурки
Видео обзор
https://drive.google.com/file/d/19KoNLted19KGqJHoMBaTWflw5tBmgJFr/view?usp=sharing",Хайтопы детские Obe бирюз,"22
 - 3 шт.      
23
 - 5 шт.      
30
 - 3 шт.      
31
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/haytopi-dityachi-obe-biryuz-8556-1051x1051.jpg,425грн.,На складе,Да
20490,"22 - стелька 13,5 см .
23 - стелька 14 см .
26 - стелька 15,5 см .
30 - стелька 17,5 см .
31 - стелька 18,5 см .
Материал : PU- кожа , внутри текстиль
Подошва: мягкая резина
Застежка: липучка + самозатяжни шнурки
Видео обзор
https://drive.google.com/file/d/1GhmKQIclmVMpgzRUGUiFR7cL4plW5PFZ/view?usp=sharing",Хайтопы детские Obe оранж,"22
 - 6 шт.      
23
 - 5 шт.      
30
 - 5 шт.      
31
 - 3 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/haytopi-dityachi-obe-oranzh-8555-1051x1051.jpg,425грн.,На складе,Да
