Артикул,Описание,Название товара,Размер,Фото по ссылке,Цена,Наличие,Отображать на сайте
4555,"Шапка
весна/осень
двойная
хорошо тянется
высота 20 см
ширина 19 см
видео-обзор
https://drive.google.com/file/d/1OvpCd4_XCvFWgo8sDtsmoU2XgyYw63Ml/view?usp=sharing",Шапка Queen черная+ белые буквы 4555,"50-55
 - 6 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/shapka-queen-chorna-bili-bukvi-4555-8633-1051x1051.jpg,150грн.,На складе,Да
4926,"РАЗМЕР
48-53
Шапка
еврозима/деми
шерсть
внутри хлопковый подклад
",Шапка Dog красная 4926,"48-53
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/shapka-dog-chervona-4926-8406-1051x1051.jpg,250грн.,На складе,Да
4924,"РАЗМЕР
48-53
Шапка
еврозима/деми
шерсть
внутри хлопковый подклад
",Шапка Dog розовая 4924,"48-53
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/shapka-dog-rozheva-4924-8404-1051x1051.jpg,250грн.,На складе,Да
4925,"РАЗМЕР
48-53
Шапка
еврозима/деми
шерсть
внутри хлопковый подклад
",Шапка Dog желтая 4925,"48-53
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/shapka-dog-zhovta-4925-8405-1051x1051.jpg,250грн.,На складе,Да
4923,"РАЗМЕР
48-53
Шапка
еврозима/деми
шерсть
внутри хлопковый подклад
",Шапка Dog коричневая 4923,"48-53
 - 3 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/shapka-dog-korichneva-4923-8403-1051x1051.jpg,250грн.,На складе,Да
4922,"РАЗМЕР
48-53
Шапка
еврозима/деми
шерсть
внутри хлопковый подклад
",Шапка Dog синяя 4922,"48-53
 - 1 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/shapka-dog-sinya-4922-8402-1051x1051.jpg,250грн.,На складе,Да
4913,"РАЗМЕР
44-48
Комплект
шапка+хомут
зима
шерсть+меховушка
",Комплект шапка+хомут Haopenyou 4913,"44-48
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-shapkahomut-haopenyou-4913-8361-1051x1051.jpg,280грн.,На складе,Да
4912,"РАЗМЕР
44-48
Комплект
шапка+хомут
зима
шерсть+меховушка
",Комплект шапка+хомут Haopenyou 4912,"44-48
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-shapkahomut-haopenyou-4912-8360-1051x1051.jpg,280грн.,На складе,Да
4911,"РАЗМЕР
44-48
Комплект
шапка+хомут
зима
шерсть+меховушка
",Комплект шапка+хомут Haopenyou 4911,"44-48
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-shapkahomut-haopenyou-4911-8359-1051x1051.jpg,280грн.,На складе,Да
4910,"РАЗМЕР
44-48
Комплект
шапка+хомут
зима
шерсть+меховушка
",Комплект шапка+хомут Haopenyou 4910,"44-48
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-shapkahomut-haopenyou-4910-8358-1051x1051.jpg,280грн.,На складе,Да
4909,"РАЗМЕР
44-48
Комплект
шапка+хомут
зима
шерсть+меховушка
",Комплект шапка+хомут Haopenyou 4909,"44-48
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-shapkahomut-haopenyou-4909-8357-1051x1051.jpg,280грн.,На складе,Да
4908,"РАЗМЕР
44-48
Комплект
шапка+хомут
зима
шерсть+меховушка
",Комплект шапка+хомут Haopenyou 4908,"44-48
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-shapkahomut-haopenyou-4908-8356-1051x1051.jpg,280грн.,На складе,Да
4907,"РАЗМЕР
44-48
Комплект
шапка+хомут
зима
шерсть+меховушка
",Комплект шапка+хомут Haopenyou 4907,"44-48
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/komplekt-shapkahomut-haopenyou-4907-8355-1051x1051.jpg,280грн.,На складе,Да
4901,"РАЗМЕР
50-54
шапка
зима
флис
возраст 3-8 лет
",Зимняя шапка 4901,"50-54
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimova-shapka-4901-8349-1051x1051.jpg,260грн.,На складе,Да
4899,"РАЗМЕР
50-54
шапка
зима
флис
возраст 3-8 лет
",Зимняя шапка 4899,"50-54
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimova-shapka-4899-8347-1051x1051.jpg,260грн.,На складе,Да
4898,"РАЗМЕР
50-54
шапка
зима
флис
возраст 3-8 лет
",Зимняя шапка 4898,"50-54
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimova-shapka-4898-8346-1051x1051.jpg,260грн.,На складе,Да
4897,"РАЗМЕР
50-54
шапка
зима
флис
возраст 3-8 лет
",Зимняя шапка 4897,"50-54
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimova-shapka-4897-8345-1051x1051.jpg,260грн.,На складе,Да
4896,"РАЗМЕР
50-54
шапка
зима
флис
возраст 3-8 лет
",Зимняя шапка 4896,"50-54
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimova-shapka-4896-8344-1051x1051.jpg,260грн.,На складе,Да
4895,"РАЗМЕР
50-54
шапка
зима
флис
возраст 3-8 лет
",Зимняя шапка 4895,"50-54
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimova-shapka-4895-8343-1051x1051.jpg,260грн.,На складе,Да
4887,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка

",Зимний шлем Super розовый 4887,"48-52
 - 3 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-super-rozheviy-4887-8335-1051x1051.jpg,280грн.,На складе,Да
4888,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка

",Зимний шлем Super красный 4888,"48-52
 - 3 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-super-chervoniy-4888-8336-1051x1051.jpg,280грн.,На складе,Да
4884,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Cat серый 4884,"48-52
 - 3 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-cat-siriy-4884-8332-1051x1051.jpg,280грн.,На складе,Да
4883,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Cat голубой 4883,"48-52
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-cat-blakitniy-4883-8331-1051x1051.jpg,280грн.,На складе,Да
4882,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Cat красный 4882,"48-52
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-cat-chervoniy-4882-8330-1051x1051.jpg,280грн.,На складе,Да
4881,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Cat желтый 4881,"48-52
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-cat-zhovtiy-4881-8329-1051x1051.jpg,280грн.,На складе,Да
4880,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Cat желтый+коричневый 4880,"48-52
 - 6 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-cat-zhovtiykorichneviy-4880-8328-1051x1051.jpg,280грн.,На складе,Да
4879,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Cat розовый 4879,"48-52
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-cat-rozheviy-4879-8327-1051x1051.jpg,280грн.,На складе,Да
4878,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Smile коричневый 4878,"48-52
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-smile-korichneviy-4878-8326-1051x1051.jpg,280грн.,На складе,Да
4876,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Smile голубой 4876,"48-52
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-smile-blakitniy-4876-8324-1051x1051.jpg,280грн.,На складе,Да
4875,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Smile серый 4875,"48-52
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-smile-siriy-4875-8323-1051x1051.jpg,280грн.,На складе,Да
4874,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Smile красный 4874,"48-52
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-smile-chervoniy-4874-8322-1051x1051.jpg,280грн.,На складе,Да
4873,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Smile желтый 4873,"48-52
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-smile-zhovtiy-4873-8321-1051x1051.jpg,280грн.,На складе,Да
4872,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-9 лет
",Зимний шлем Smile розовый 4872,"48-52
 - 1 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-smile-rozheviy-4872-8320-1051x1051.jpg,280грн.,На складе,Да
4830,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-5 лет
",Зимний шлем Star серый 4830,"48-52
 - 9 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-star-siriy-4830-8318-1051x1051.jpg,280грн.,На складе,Да
4828,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-5 лет
",Зимний шлем Star голубой 4828,"48-52
 - 14 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-star-blakitniy-4828-8317-1051x1051.jpg,280грн.,На складе,Да
4824,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-5 лет
",Зимний шлем Star розовый 4824,"48-52
 - 18 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-star-rozheviy-4824-8315-1051x1051.jpg,280грн.,На складе,Да
4827,"РАЗМЕР
48-52
шлем
зима
шерсть+акрил
внутри меховушка
возраст 2-5 лет
",Зимний шлем Star темно-синий 4827,"48-52
 - 19 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-star-temno-siniy-4827-8314-1051x1051.jpg,280грн.,На складе,Да
4791,"Размер 48-54
3-10 лет
Шлем
зима
верх акрил+шерсть
подклад микроплюш
",Зимний шлем Dino темно-синий 4791,"48-54
 - 6 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-dino-temno-siniy-4791-8313-1051x1051.jpg,280грн.,На складе,Да
4790,"Размер 48-54
3-10 лет
Шлем
зима
верх акрил+шерсть
подклад микроплюш
",Зимний шлем Dino серый 4790,"48-54
 - 7 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-dino-siriy-4790-8312-1051x1051.jpg,280грн.,На складе,Да
